Freq.	V(vo)
Step Information: Run=1  (Run: 1/100)
4.97876072231268e+003	(5.98070424454537e-001dB,1.77780609670179e+002°)
5.09473095738523e+003	(6.02673904916373e-001dB,1.77718441479815e+002°)
5.21340248624812e+003	(6.07547001582872e-001dB,1.77653944466181e+002°)
5.33483823011676e+003	(6.12708470416391e-001dB,1.77586982631808e+002°)
5.45910257582995e+003	(6.18178703954276e-001dB,1.77517408127933e+002°)
5.58626140998860e+003	(6.23979912142638e-001dB,1.77445059894431e+002°)
5.71638215388974e+003	(6.30136327801864e-001dB,1.77369762107685e+002°)
5.84953379927413e+003	(6.36674440732165e-001dB,1.77291322404011e+002°)
5.98578694490663e+003	(6.43623265229385e-001dB,1.77209529839845e+002°)
6.12521383400858e+003	(6.51014646710445e-001dB,1.77124152542047e+002°)
6.26788839256211e+003	(6.58883614284296e-001dB,1.77034934991988e+002°)
6.41388626850669e+003	(6.67268787502593e-001dB,1.76941594875053e+002°)
6.56328487184865e+003	(6.76212847251413e-001dB,1.76843819412228e+002°)
6.71616341570501e+003	(6.85763082891703e-001dB,1.76741261071658e+002°)
6.87260295830331e+003	(6.95972030432780e-001dB,1.76633532534382e+002°)
7.03268644595976e+003	(7.06898219888091e-001dB,1.76520200758425e+002°)
7.19649875705846e+003	(7.18607054205530e-001dB,1.76400779947101e+002°)
7.36412674705508e+003	(7.31171847560000e-001dB,1.76274723178069e+002°)
7.53565929452873e+003	(7.44675057691598e-001dB,1.76141412385914e+002°)
7.71118734830658e+003	(7.59209755848883e-001dB,1.76000146307741e+002°)
7.89080397568614e+003	(7.74881389406237e-001dB,1.75850125891790e+002°)
8.07460441178074e+003	(7.91809907254953e-001dB,1.75690436523816e+002°)
8.26268611001449e+003	(8.10132337860034e-001dB,1.75520026231449e+002°)
8.45514879379335e+003	(8.30005936150968e-001dB,1.75337678763822e+002°)
8.65209450937981e+003	(8.51612050614531e-001dB,1.75141980084393e+002°)
8.85362767999915e+003	(8.75160909554249e-001dB,1.74931276318480e+002°)
9.05985516120604e+003	(9.00897590490556e-001dB,1.74703620502753e+002°)
9.27088629754076e+003	(9.29109526404424e-001dB,1.74456704500333e+002°)
9.48683298050513e+003	(9.60136027784831e-001dB,1.74187771032049e+002°)
9.70780970788884e+003	(9.94380476376191e-001dB,1.73893498713018e+002°)
9.93393364447772e+003	(1.03232609962818e+000dB,1.73569849926716e+002°)
1.01653246841761e+004	(1.07455660176250e+000dB,1.73211866752682e+002°)
1.04021055135759e+004	(1.12178346670844e+000dB,1.72813393055153e+002°)
1.06444016770073e+004	(1.17488255250696e+000dB,1.72366689651752e+002°)
1.08923416431030e+004	(1.23494381416573e+000dB,1.71861891446377e+002°)
1.11460568729152e+004	(1.30333986144761e+000dB,1.71286225555119e+002°)
1.14056818896168e+004	(1.38182196762432e+000dB,1.70622858544116e+002°)
1.16713543498284e+004	(1.47265672006974e+000dB,1.69849151150112e+002°)
1.19432151166049e+004	(1.57882371839013e+000dB,1.68933934593062e+002°)
1.22214083341234e+004	(1.70430594599355e+000dB,1.67833108887389e+002°)
1.25060815041100e+004	(1.85452090136410e+000dB,1.66482234693174e+002°)
1.27973855640478e+004	(2.03696008176409e+000dB,1.64783457734101e+002°)
1.30954749672050e+004	(2.26210539366868e+000dB,1.62581096977814e+002°)
1.34005077645289e+004	(2.54455784137021e+000dB,1.59612938844282e+002°)
1.37126456884462e+004	(2.90346915138513e+000dB,1.55405241579485e+002°)
1.40320542386159e+004	(3.35679717822879e+000dB,1.49026634731214e+002°)
1.43589027696791e+004	(3.87855707414001e+000dB,1.38476321881303e+002°)
1.46933645810534e+004	(4.14836338904173e+000dB,1.19384607572936e+002°)
1.50356170088181e+004	(2.53820755329069e+000dB,8.61396804792497e+001°)
1.53858415197409e+004	(-4.09411536258912e+000dB,4.59312059021548e+001°)
1.57442238074931e+004	(-1.87440791121273e+001dB,-3.51195454782307e+001°)
1.61109538911075e+004	(-1.05295132715304e+001dB,-1.36346348130587e+002°)
1.64862262157287e+004	(-6.54250298440715e+000dB,-1.51279970762386e+002°)
1.68702397557104e+004	(-4.71785166246991e+000dB,-1.58257223105511e+002°)
1.72631981201147e+004	(-3.67301415241774e+000dB,-1.62544358732790e+002°)
1.76653096606676e+004	(-2.99798760656644e+000dB,-1.65495723906137e+002°)
1.80767875822307e+004	(-2.52715345099334e+000dB,-1.67667394947942e+002°)
1.84978500558444e+004	(-2.18076074056216e+000dB,-1.69339726922141e+002°)
1.89287203344058e+004	(-1.91570147548994e+000dB,-1.70671750106085e+002°)
1.93696268710396e+004	(-1.70666161499902e+000dB,-1.71761058331890e+002°)
1.98208034402278e+004	(-1.53781415097723e+000dB,-1.72671082313368e+002°)
2.02824892617594e+004	(-1.39876370321996e+000dB,-1.73444916830280e+002°)
2.07549291275680e+004	(-1.28240500554069e+000dB,-1.74112899590193e+002°)
2.12383735315241e+004	(-1.18371918113875e+000dB,-1.74697022211773e+002°)
2.17330788022496e+004	(-1.09906172765851e+000dB,-1.75213623789511e+002°)
2.22393072390275e+004	(-1.02572304912018e+000dB,-1.75675102103621e+002°)
2.27573272508755e+004	(-9.61647247528757e-001dB,-1.76091037558483e+002°)
2.32874134988607e+004	(-9.05246519101032e-001dB,-1.76468952740106e+002°)
2.38298470417284e+004	(-8.55275308257881e-001dB,-1.76814838574195e+002°)
2.43849154849229e+004	(-8.10742939682268e-001dB,-1.77133526793683e+002°)
2.49529131330801e+004	(-7.70851682510426e-001dB,-1.77428958717624e+002°)
2.55341411460712e+004	(-7.34952018091512e-001dB,-1.77704382555768e+002°)
2.61289076986823e+004	(-7.02509788522972e-001dB,-1.77962500489809e+002°)
2.67375281440123e+004	(-6.73081704131294e-001dB,-1.78205579849612e+002°)
2.73603251806772e+004	(-6.46296831776866e-001dB,-1.78435538216854e+002°)
2.79976290239096e+004	(-6.21842428301071e-001dB,-1.78654009325389e+002°)
2.86497775806430e+004	(-5.99452975074974e-001dB,-1.78862394633233e+002°)
2.93171166286742e+004	(-5.78901601129837e-001dB,-1.79061904075684e+002°)
2.99999999999999e+004	(-5.59993309638109e-001dB,-1.79253588559551e+002°)
3.06987897684225e+004	(-5.42559580734391e-001dB,-1.79438366088614e+002°)
3.14138564415269e+004	(-5.26454035365442e-001dB,-1.79617042931618e+002°)
3.21455791571281e+004	(-5.11548924745443e-001dB,-1.79790330897576e+002°)
3.28943458842954e+004	(-4.97732267822271e-001dB,-1.79958861529537e+002°)
3.36605536290588e+004	(-4.84905501493760e-001dB,1.79876802159639e+002°)
3.44446086449064e+004	(-4.72981539627308e-001dB,1.79716155926098e+002°)
3.52469266481858e+004	(-4.61883160330481e-001dB,1.79558746130704e+002°)
3.60679330385222e+004	(-4.51541658553777e-001dB,1.79404162874285e+002°)
3.69080631243713e+004	(-4.41895714518288e-001dB,1.79252034196715e+002°)
3.77677623538249e+004	(-4.32890438738661e-001dB,1.79102021151722e+002°)
3.86474865507939e+004	(-4.24476562354025e-001dB,1.78953813606404e+002°)
3.95477021566921e+004	(-4.16609747655473e-001dB,1.78807126643449e+002°)
4.04688864777495e+004	(-4.09249998539498e-001dB,1.78661697466980e+002°)
4.14115279380864e+004	(-4.02361154431144e-001dB,1.78517282731110e+002°)
4.23761263386825e+004	(-3.95910454247476e-001dB,1.78373656224827e+002°)
4.33631931223777e+004	(-3.89868159387103e-001dB,1.78230606858429e+002°)
4.43732516450461e+004	(-3.84207226667996e-001dB,1.78087936906181e+002°)
4.54068374530861e+004	(-3.78903023699518e-001dB,1.77945460467440e+002°)
4.64644985673743e+004	(-3.73933080439774e-001dB,1.77803002114730e+002°)
4.75467957738332e+004	(-3.69276871722529e-001dB,1.77660395702321e+002°)
4.86543029207677e+004	(-3.64915626380722e-001dB,1.77517483313052e+002°)
4.97876072231266e+004	(-3.60832159287722e-001dB,1.77374114324567e+002°)
5.09473095738521e+004	(-3.57010723210496e-001dB,1.77230144579039e+002°)
5.21340248624810e+004	(-3.53436877842097e-001dB,1.77085435642770e+002°)
5.33483823011675e+004	(-3.50097373776317e-001dB,1.76939854144111e+002°)
5.45910257582993e+004	(-3.46980049516388e-001dB,1.76793271179761e+002°)
5.58626140998858e+004	(-3.44073739885621e-001dB,1.76645561780930e+002°)
5.71638215388972e+004	(-3.41368194439872e-001dB,1.76496604432033e+002°)
5.84953379927411e+004	(-3.38854004677741e-001dB,1.76346280635567e+002°)
5.98578694490661e+004	(-3.36522539009485e-001dB,1.76194474517701e+002°)
6.12521383400856e+004	(-3.34365884586907e-001dB,1.76041072469789e+002°)
6.26788839256209e+004	(-3.32376795215568e-001dB,1.75885962821695e+002°)
6.41388626850667e+004	(-3.30548644673106e-001dB,1.75729035543288e+002°)
6.56328487184863e+004	(-3.28875384845338e-001dB,1.75570181970952e+002°)
6.71616341570499e+004	(-3.27351508165845e-001dB,1.75409294556358e+002°)
