Freq.	V(vo)/V(vm)
2.75422870333815e+002	(-3.53142684980776e+001dB,-1.62491573927151e+000°)
2.81838293126443e+002	(-3.53228232141580e+001dB,-1.66311078188561e+000°)
2.88403150312659e+002	(-3.53317902631403e+001dB,-1.70222096082952e+000°)
2.95120922666637e+002	(-3.53411899824255e+001dB,-1.74226950377560e+000°)
3.01995172040200e+002	(-3.53510437583425e+001dB,-1.78328032764634e+000°)
3.09029543251357e+002	(-3.53613740847939e+001dB,-1.82527806675497e+000°)
3.16227766016836e+002	(-3.53722046256310e+001dB,-1.86828810266302e+000°)
3.23593656929626e+002	(-3.53835602810360e+001dB,-1.91233659589679e+000°)
3.31131121482589e+002	(-3.53954672582191e+001dB,-1.95745051967990e+000°)
3.38844156139200e+002	(-3.54079531467628e+001dB,-2.00365769585548e+000°)
3.46736850452529e+002	(-3.54210469989790e+001dB,-2.05098683318922e+000°)
3.54813389233573e+002	(-3.54347794156770e+001dB,-2.09946756826536e+000°)
3.63078054770099e+002	(-3.54491826377790e+001dB,-2.14913050920958e+000°)
3.71535229097170e+002	(-3.54642906442634e+001dB,-2.20000728249924e+000°)
3.80189396320558e+002	(-3.54801392569600e+001dB,-2.25213058315062e+000°)
3.89045144994278e+002	(-3.54967662527772e+001dB,-2.30553422860334e+000°)
3.98107170553494e+002	(-3.55142114839968e+001dB,-2.36025321666156e+000°)
4.07380277804110e+002	(-3.55325170073398e+001dB,-2.41632378789235e+000°)
4.16869383470332e+002	(-3.55517272225784e+001dB,-2.47378349292729e+000°)
4.26579518801589e+002	(-3.55718890215508e+001dB,-2.53267126517022e+000°)
4.36515832240163e+002	(-3.55930519485317e+001dB,-2.59302749947283e+000°)
4.46683592150960e+002	(-3.56152683730089e+001dB,-2.65489413741056e+000°)
4.57088189614872e+002	(-3.56385936760401e+001dB,-2.71831475987202e+000°)
4.67735141287195e+002	(-3.56630864514913e+001dB,-2.78333468776418e+000°)
4.78630092322635e+002	(-3.56888087236116e+001dB,-2.85000109174517e+000°)
4.89778819368443e+002	(-3.57158261825666e+001dB,-2.91836311201212e+000°)
5.01187233627268e+002	(-3.57442084397456e+001dB,-2.98847198931608e+000°)
5.12861383991361e+002	(-3.57740293048803e+001dB,-3.06038120853463e+000°)
5.24807460249769e+002	(-3.58053670872584e+001dB,-3.13414665632029e+000°)
5.37031796370249e+002	(-3.58383049236069e+001dB,-3.20982679456166e+000°)
5.49540873857620e+002	(-3.58729311355450e+001dB,-3.28748285164711e+000°)
5.62341325190345e+002	(-3.59093396198843e+001dB,-3.36717903381425e+000°)
5.75439937337152e+002	(-3.59476302754885e+001dB,-3.44898275922145e+000°)
5.88843655355584e+002	(-3.59879094709071e+001dB,-3.53296491777805e+000°)
6.02559586074353e+002	(-3.60302905575741e+001dB,-3.61920016025535e+000°)
6.16595001861477e+002	(-3.60748944340406e+001dB,-3.70776722076503e+000°)
6.30957344480188e+002	(-3.61218501674899e+001dB,-3.79874927736824e+000°)
6.45654229034650e+002	(-3.61712956796986e+001dB,-3.89223435637415e+000°)
6.60693448007591e+002	(-3.62233785056808e+001dB,-3.98831578684958e+000°)
6.76082975391976e+002	(-3.62782566345032e+001dB,-4.08709271300228e+000°)
6.91830970918931e+002	(-3.63360994432472e+001dB,-4.18867067348047e+000°)
7.07945784384132e+002	(-3.63970887368393e+001dB,-4.29316225829758e+000°)
7.24435960074984e+002	(-3.64614199085522e+001dB,-4.40068785610431e+000°)
7.41310241300911e+002	(-3.65293032384527e+001dB,-4.51137650699238e+000°)
7.58577575029177e+002	(-3.66009653500288e+001dB,-4.62536687901456e+000°)
7.76247116628685e+002	(-3.66766508487837e+001dB,-4.74280839029920e+000°)
7.94328234724275e+002	(-3.67566241708631e+001dB,-4.86386250319538e+000°)
8.12830516164092e+002	(-3.68411716749678e+001dB,-4.98870422254060e+000°)
8.31763771102664e+002	(-3.69306040171139e+001dB,-5.11752383719603e+000°)
8.51138038202369e+002	(-3.70252588555146e+001dB,-5.25052895285299e+000°)
8.70963589956073e+002	(-3.71255039423402e+001dB,-5.38794687527742e+000°)
8.91250938133738e+002	(-3.72317406708261e+001dB,-5.53002741735154e+000°)
9.12010839355902e+002	(-3.73444081607626e+001dB,-5.67704622140067e+000°)
9.33254300796983e+002	(-3.74639879836077e+001dB,-5.82930871162919e+000°)
9.54992586021428e+002	(-3.75910096513788e+001dB,-5.98715482174862e+000°)
9.77237220955802e+002	(-3.77260570225160e+001dB,-6.15096468240636e+000°)
9.99999999999991e+002	(-3.78697758149688e+001dB,-6.32116550511128e+000°)
1.02329299228075e+003	(-3.80228824644149e+001dB,-6.49823996855019e+000°)
1.04712854805089e+003	(-3.81861746273194e+001dB,-6.68273650603998e+000°)
1.07151930523760e+003	(-3.83605437093687e+001dB,-6.87528201863612e+000°)
1.09647819614318e+003	(-3.85469899065233e+001dB,-7.07659771066284e+000°)
1.12201845430195e+003	(-3.87466403882258e+001dB,-7.28751898301572e+000°)
1.14815362149687e+003	(-3.89607714440799e+001dB,-7.50902065414401e+000°)
1.17489755493952e+003	(-3.91908356768090e+001dB,-7.74224925405655e+000°)
1.20226443461740e+003	(-3.94384956853056e+001dB,-7.98856482208578e+000°)
1.23026877081237e+003	(-3.97056661867745e+001dB,-8.24959564280843e+000°)
1.25892541179416e+003	(-3.99945672443694e+001dB,-8.52731084939816e+000°)
1.28824955169312e+003	(-4.03077923019671e+001dB,-8.82411809216412e+000°)
1.31825673855640e+003	(-4.06483962480484e+001dB,-9.14299698349293e+000°)
1.34896288259164e+003	(-4.10200110068947e+001dB,-9.48768459663466e+000°)
1.38038426460287e+003	(-4.14269996367439e+001dB,-9.86293833813548e+000°)
1.41253754462274e+003	(-4.18746653667776e+001dB,-1.02749166205370e+001°)
1.44543977074591e+003	(-4.23695407719598e+001dB,-1.07317438084481e+001°)
1.47910838816819e+003	(-4.29197968061803e+001dB,-1.12443724512861e+001°)
1.51356124843619e+003	(-4.35358362845572e+001dB,-1.18279424366144e+001°)
1.54881661891247e+003	(-4.42311806488137e+001dB,-1.25040056882820e+001°)
1.58489319246110e+003	(-4.50238410415564e+001dB,-1.33043333511475e+001°)
1.62181009735891e+003	(-4.59385251777866e+001dB,-1.42777886155500e+001°)
1.65958690743754e+003	(-4.70103630661121e+001dB,-1.55035710573771e+001°)
1.69824365246173e+003	(-4.82915648365121e+001dB,-1.71189114910337e+001°)
1.73780082874936e+003	(-4.98641427126304e+001dB,-1.93833976483295e+001°)
1.77827941003891e+003	(-5.18660678489415e+001dB,-2.28507770000189e+001°)
1.81970085860997e+003	(-5.45474842282050e+001dB,-2.89250632777831e+001°)
1.86208713666285e+003	(-5.83539102718924e+001dB,-4.21929058487500e+001°)
1.90546071796323e+003	(-6.28968862084561e+001dB,-8.06330650559647e+001°)
1.94984459975803e+003	(-6.07747216612599e+001dB,-1.39794217659088e+002°)
1.99526231496886e+003	(-5.58157194115595e+001dB,-1.63431340708433e+002°)
2.04173794466951e+003	(-5.21629014137292e+001dB,-1.72555022824752e+002°)
2.08929613085402e+003	(-4.94149643901541e+001dB,-1.77242836719027e+002°)
2.13796208950221e+003	(-4.72175652066716e+001dB,1.79872902656081e+002°)
2.18776162394953e+003	(-4.53795271580761e+001dB,1.77881814840425e+002°)
2.23872113856832e+003	(-4.37919894572924e+001dB,1.76393375085716e+002°)
2.29086765276775e+003	(-4.23881576665440e+001dB,1.75213609544821e+002°)
2.34422881531990e+003	(-4.11243946360951e+001dB,1.74235580267232e+002°)
2.39883291901947e+003	(-3.99707243947597e+001dB,1.73395565482242e+002°)
2.45470891568501e+003	(-3.89057082872771e+001dB,1.72653236489659e+002°)
2.51188643150955e+003	(-3.79135017727126e+001dB,1.71981808891619e+002°)
2.57039578276884e+003	(-3.69820724317167e+001dB,1.71362774392705e+002°)
2.63026799189535e+003	(-3.61020722567856e+001dB,1.70782909494799e+002°)
2.69153480392689e+003	(-3.52660967918337e+001dB,1.70232491276857e+002°)
2.75422870333814e+003	(-3.44681826159602e+001dB,1.69704188223673e+002°)
2.81838293126442e+003	(-3.37034569747483e+001dB,1.69192345961693e+002°)
