Time (s),Channel 1 (V),Channel 2 (V)
-0.0023334814453125,0.995577706848255,0.1545231147419566
-0.0023328564453125,0.9907417400724111,0.1804903779332661
-0.0023322314453125,0.995577706848255,0.1752969252950042
-0.0023316064453125,0.9907417400724133,0.0973951357211111
-0.0023309814453125,0.9907417400724111,0.08181477780628996
-0.0023303564453125,0.9955777068482505,0.1129754936358425
-0.0023297314453125,0.9859057732965673,0.07142787252976615
-0.0023291064453125,0.9907417400724089,0.07662132516802569
-0.0023284814453125,0.9859057732965673,0.07142787252976615
-0.0023278564453125,0.9907417400724111,0.009106440870623291
-0.0023272314453125,0.9859057732965673,0.06623441989150425
-0.0023266064453125,0.9859057732965673,0.1129754936358614
-0.0023259814453125,0.9907417400724089,0.05065406197674686
-0.0023253564453125,0.9762338397448797,0.03507370406193282
-0.0023247314453125,0.9810698065207257,0.1233623989124253
-0.0023241064453125,0.9859057732965673,0.2116510937628376
-0.0023234814453125,0.9762338397448797,0.1493296621036947
-0.0023228564453125,0.9762338397448797,0.1960707358480518
-0.0023222314453125,0.9713978729690358,0.2272314516776233
-0.0023216064453125,0.9762338397448774,0.2687790727836996
-0.0023209814453125,0.9762338397448797,0.3311005044428613
-0.0023203564453125,0.971397872969038,0.2428118095924491
-0.0023197314453125,0.9713978729690358,0.2064576411245757
-0.0023191064453125,0.9665619061931943,0.25839216750719
-0.0023184814453125,0.9713978729690358,0.2480052622306709
-0.0023178564453125,0.9713978729690358,0.2168445464010995
-0.0023172314453125,0.9568899726415043,0.1493296621036947
-0.0023166064453125,0.966561906193192,0.1597165673802185
-0.0023159814453125,0.9617259394173504,0.154523114741959
-0.0023153564453125,0.9568899726415043,0.1804903779332661
-0.0023147314453125,0.9617259394173437,0.2635856201454425
-0.0023141064453125,0.9520540058656606,0.2324249043158852
-0.0023134814453125,0.9568899726414999,0.2220379990393874
-0.0023128564453125,0.9472180390898167,0.2791659780602423
-0.0023122314453125,0.9520540058656606,0.2531987148689328
-0.0023116064453125,0.9472180390898167,0.2947463359750281
-0.0023109814453125,0.9423820723139729,0.3466808623576471
-0.0023103564453125,0.9472180390898145,0.3622612202724257
-0.0023097314453125,0.9375461055381291,0.3311005044428613
-0.0023091064453125,0.9375461055381291,0.3259070518046183
-0.0023084814453125,0.9375461055381291,0.3674546729106947
-0.0023078564453125,0.9327101387622853,0.3103266938898303
-0.0023072314453125,0.9327101387622853,0.3466808623576471
-0.0023066064453125,0.9278741719864414,0.3986153887402661
-0.0023059814453125,0.9278741719864414,0.351874314995909
-0.0023053564453125,0.9230382052105977,0.3362939570811233
-0.0023047314453125,0.918202238434756,0.2791659780602683
-0.0023041064453125,0.9230382052105977,0.242811809592409
-0.0023034814453125,0.9133662716589099,0.2531987148689564
-0.0023028564453125,0.9133662716589099,0.3051332412515518
-0.0023022314453125,0.9133662716589099,0.3207135991663376
-0.0023016064453125,0.9036943381072223,0.2531987148689328
-0.0023009814453125,0.9085303048830662,0.2947463359750281
-0.0023003564453125,0.8988583713313829,0.3518743149958831
-0.0022997314453125,0.8988583713313785,0.3726481255489567
-0.0022991064453125,0.8988583713313785,0.4609368203993688
-0.0022984814453125,0.8891864377796909,0.4557433677611471
-0.0022978564453125,0.8940224045555303,0.4401630098463708
-0.0022972314453125,0.884350471003847,0.460936820399409
-0.0022966064453125,0.884350471003847,0.4557433677611471
-0.0022959814453125,0.8891864377796909,0.5232582520585519
-0.0022953564453125,0.8746785374521594,0.4817106309524566
-0.0022947314453125,0.879514504228001,0.4401630098463802
-0.0022941064453125,0.8698425706763155,0.3882284834637423
-0.0022934814453125,0.865006603900474,0.3259070518046278
-0.0022928564453125,0.8698425706763155,0.4245826519315756
-0.0022922314453125,0.8601706371246279,0.4297761045698187
-0.0022916064453125,0.8601706371246279,0.3882284834637423
-0.0022909814453125,0.8553346703487842,0.4090022940167899
-0.0022903564453125,0.8553346703487842,0.3882284834637423
-0.0022897314453125,0.8553346703487842,0.4817106309524566
-0.0022891064453125,0.8408267700212593,0.4920975362289757
-0.0022884814453125,0.8456627367970965,0.4557433677611471
-0.0022878564453125,0.8408267700212505,0.440163009846359
-0.0022872314453125,0.8359908032454089,0.4349695572080995
-0.0022866064453125,0.8359908032454066,0.5336451573350591
-0.0022859814453125,0.831154836469565,0.4972909888672423
-0.0022853564453125,0.8263188696937213,0.4817106309524566
-0.0022847314453125,0.8214829029178774,0.5232582520585519
-0.0022841064453125,0.8214829029178774,0.4817106309524566
-0.0022834814453125,0.8166469361420358,0.4972909888672352
-0.0022828564453125,0.8069750025903459,0.5284517046968138
-0.0022822314453125,0.8118109693661854,0.5596124205263946
-0.0022816064453125,0.8021390358145021,0.5803862310794328
-0.0022809814453125,0.8021390358145021,0.590773136355959
-0.0022803564453125,0.8021390358145021,0.5959665889942185
-0.0022797314453125,0.7924671022628145,0.5180647994202899
-0.0022791064453125,0.7924671022628145,0.5440320626115878
-0.0022784814453125,0.7876311354869706,0.5544189678881233
-0.0022778564453125,0.7827951687111291,0.5128713467820469
-0.0022772314453125,0.777959201935283,0.5492255152498614
-0.0022766064453125,0.7682872683835976,0.5284517046967996
-0.0022759814453125,0.7731232351594391,0.4972909888672423
-0.0022753564453125,0.7634513016077515,0.5076778941437662
-0.0022747314453125,0.7634513016077515,0.4972909888672423
-0.0022741064453125,0.7634513016077515,0.5596124205263852
-0.0022734814453125,0.7489434012802266,0.5699993258029042
-0.0022728564453125,0.7537793680560639,0.6323207574620519
-0.0022722314453125,0.7441074345043807,0.6375142101003114
-0.0022716064453125,0.7392714677285325,0.5855796837176948
-0.0022709814453125,0.7344355009526864,0.6582880206533519
-0.0022703564453125,0.7295995341768448,0.6375142101003137
-0.0022697314453125,0.7295995341768448,0.6219338521855281
-0.0022691064453125,0.7199276006251571,0.6842552838446709
-0.0022684814453125,0.7199276006251571,0.6427076627385757
-0.0022678564453125,0.7150916338493155,0.5959665889942397
-0.0022672314453125,0.7054197002976257,0.5648058731646471
-0.0022666064453125,0.7054197002976235,0.5803862310794611
-0.0022659814453125,0.7005837335217818,0.6427076627385757
-0.0022653564453125,0.6909117999700942,0.6011600416324899
-0.0022647314453125,0.6909117999700942,0.6219338521855281
-0.0022641064453125,0.6812398664184066,0.6011600416324805
-0.0022634814453125,0.6812398664184066,0.6634814732916233
-0.0022628564453125,0.6764038996425628,0.7777374313333852
-0.0022622314453125,0.6715679328667212,0.7413832628655684
-0.0022616064453125,0.671567932866719,0.7258029049507662
-0.0022609814453125,0.6570600325391898,0.705029094397702
-0.0022603564453125,0.6618959993150313,0.6686749259298852
-0.0022597314453125,0.6522240657633415,0.6998356417594543
-0.0022591064453125,0.6473880989874998,0.6946421891211947
-0.0022584814453125,0.6473880989874998,0.6686749259298852
-0.0022578564453125,0.6328801986599749,0.5959665889942516
