Freq.	V(buff)
1.23026877081237e+004	(-3.09107472044585e+000dB,-9.01004806691606e+001°)
1.25892541179416e+004	(-2.88851877415031e+000dB,-9.01026930254981e+001°)
1.28824955169312e+004	(-2.68584154121518e+000dB,-9.01049476690451e+001°)
1.31825673855640e+004	(-2.48303722507495e+000dB,-9.01072449136471e+001°)
1.34896288259164e+004	(-2.28009974813004e+000dB,-9.01095850312321e+001°)
1.38038426460287e+004	(-2.07702273773221e+000dB,-9.01119682471607e+001°)
1.41253754462274e+004	(-1.87379951143328e+000dB,-9.01143947351862e+001°)
1.44543977074591e+004	(-1.67042306145486e+000dB,-9.01168646119936e+001°)
1.47910838816819e+004	(-1.46688603833398e+000dB,-9.01193779312817e+001°)
1.51356124843619e+004	(-1.26318073369646e+000dB,-9.01219346773526e+001°)
1.54881661891247e+004	(-1.05929906210678e+000dB,-9.01245347581668e+001°)
1.58489319246110e+004	(-8.55232541939503e-001dB,-9.01271779978218e+001°)
1.62181009735891e+004	(-6.50972275213919e-001dB,-9.01298641284049e+001°)
1.65958690743755e+004	(-4.46508926329000e-001dB,-9.01325927811695e+001°)
1.69824365246173e+004	(-2.41832699632097e-001dB,-9.01353634769781e+001°)
1.73780082874936e+004	(-3.69333157492600e-002dB,-9.01381756159512e+001°)
1.77827941003891e+004	(1.68200013399317e-001dB,-9.01410284662556e+001°)
1.81970085860997e+004	(3.73578610981380e-001dB,-9.01439211519590e+001°)
1.86208713666285e+004	(5.79214363120461e-001dB,-9.01468526398723e+001°)
1.90546071796323e+004	(7.85119748344620e-001dB,-9.01498217252926e+001°)
1.94984459975803e+004	(9.91307868718126e-001dB,-9.01528270165550e+001°)
1.99526231496886e+004	(1.19779248276595e+000dB,-9.01558669182866e+001°)
2.04173794466951e+004	(1.40458804030942e+000dB,-9.01589396132549e+001°)
2.08929613085402e+004	(1.61170971934056e+000dB,-9.01620430426831e+001°)
2.13796208950221e+004	(1.81917346507272e+000dB,-9.01651748849024e+001°)
2.18776162394953e+004	(2.02699603131610e+000dB,-9.01683325321894e+001°)
2.23872113856832e+004	(2.23519502433865e+000dB,-9.01715130656310e+001°)
2.29086765276775e+004	(2.44378894938646e+000dB,-9.01747132278364e+001°)
2.34422881531990e+004	(2.65279726005154e+000dB,-9.01779293933031e+001°)
2.39883291901947e+004	(2.86224041069119e+000dB,-9.01811575362220e+001°)
2.45470891568501e+004	(3.07213991212061e+000dB,-9.01843931954855e+001°)
2.51188643150956e+004	(3.28251839081924e+000dB,-9.01876314366396e+001°)
2.57039578276884e+004	(3.49339965191262e+000dB,-9.01908668104920e+001°)
2.63026799189536e+004	(3.70480874621509e+000dB,-9.01940933080612e+001°)
2.69153480392689e+004	(3.91677204164374e+000dB,-9.01973043115153e+001°)
2.75422870333814e+004	(4.12931729934315e+000dB,-9.02004925407138e+001°)
2.81838293126443e+004	(4.34247375489142e+000dB,-9.02036499949237e+001°)
2.88403150312658e+004	(4.55627220499314e+000dB,-9.02067678892322e+001°)
2.95120922666636e+004	(4.77074510010346e+000dB,-9.02098365851291e+001°)
