time	V(buff)	V(n009)
2.209484522856008e-002	6.208948e-002	-1.403810e-001
2.215064879998865e-002	6.208979e-002	-1.760952e-001
2.220645237141722e-002	6.208996e-002	-2.118095e-001
2.226225594284579e-002	6.208999e-002	-2.475238e-001
2.231805951427435e-002	6.208987e-002	-2.832381e-001
2.237386308570292e-002	6.208961e-002	-3.189524e-001
2.246454388927435e-002	6.208959e-002	-3.769881e-001
2.255522469284577e-002	6.208956e-002	-4.350238e-001
2.264590549641719e-002	6.208955e-002	-4.930595e-001
2.273658629998861e-002	6.208953e-002	-5.510952e-001
2.282726710356004e-002	6.208953e-002	-6.091310e-001
2.291794790713146e-002	6.208952e-002	-6.671667e-001
2.300862871070289e-002	6.208952e-002	-7.252024e-001
2.306443228213145e-002	6.208952e-002	-7.609167e-001
2.312023585356002e-002	6.208952e-002	-7.966310e-001
2.317603942498859e-002	6.208951e-002	-8.323452e-001
2.323184299641716e-002	6.208951e-002	-8.680595e-001
