Freq.,Vvout
1.83231442237119e+000,-5.71661836117677e-004,-2.78025811349796e-002
1.83653834334832e+000,-5.71661770562239e-004,-2.78666727863207e-002
1.84077200146893e+000,-5.71661704704946e-004,-2.79309121847500e-002
1.84501541917945e+000,-5.71661638539048e-004,-2.79952996708634e-002
1.84926861897805e+000,-5.71661572071296e-004,-2.80598355860425e-002
1.85353162341479e+000,-5.71661505289153e-004,-2.81245202724554e-002
1.85780445509167e+000,-5.71661438214799e-004,-2.81893540730596e-002
1.86208713666284e+000,-5.71661370817374e-004,-2.82543373316024e-002
1.86637969083464e+000,-5.71661303121952e-004,-2.83194703926247e-002
1.87068214036577e+000,-5.71661235107317e-004,-2.83847536014604e-002
1.87499450806739e+000,-5.71661166781183e-004,-2.84501873042400e-002
1.87931681680324e+000,-5.71661098131015e-004,-2.85157718478930e-002
1.88364908948977e+000,-5.71661029167419e-004,-2.85815075801471e-002
1.88799134909627e+000,-5.71660959892325e-004,-2.86473948495324e-002
1.89234361864495e+000,-5.71660890293195e-004,-2.87134340053819e-002
1.89670592121112e+000,-5.71660820365209e-004,-2.87796253978351e-002
1.90107827992327e+000,-5.71660750126688e-004,-2.88459693778378e-002
1.90546071796322e+000,-5.71660679556417e-004,-2.89124662971447e-002
1.90985325856621e+000,-5.71660608668861e-004,-2.89791165083216e-002
1.91425592502106e+000,-5.71660537440875e-004,-2.90459203647478e-002
1.91866874067026e+000,-5.71660465896569e-004,-2.91128782206164e-002
1.92309172891013e+000,-5.71660394016655e-004,-2.91799904309368e-002
1.92752491319091e+000,-5.71660321797276e-004,-2.92472573515380e-002
1.93196831701690e+000,-5.71660249260612e-004,-2.93146793390680e-002
1.93642196394658e+000,-5.71660176375802e-004,-2.93822567509980e-002
1.94088587759275e+000,-5.71660103159242e-004,-2.94499899456225e-002
1.94536008162263e+000,-5.71660029604181e-004,-2.95178792820627e-002
1.94984459975802e+000,-5.71659955711583e-004,-2.95859251202670e-002
1.95433945577537e+000,-5.71659881479520e-004,-2.96541278210145e-002
1.95884467350596e+000,-5.71659806904133e-004,-2.97224877459149e-002
1.96336027683602e+000,-5.71659731974815e-004,-2.97910052574124e-002
1.96788628970682e+000,-5.71659656708925e-004,-2.98596807187862e-002
1.97242273611482e+000,-5.71659581097782e-004,-2.99285144941535e-002
1.97696964011183e+000,-5.71659505133672e-004,-2.99975069484705e-002
1.98152702580507e+000,-5.71659428815631e-004,-3.00666584475349e-002
1.98609491735734e+000,-5.71659352151374e-004,-3.01359693579874e-002
1.99067333898716e+000,-5.71659275128363e-004,-3.02054400473144e-002
1.99526231496885e+000,-5.71659197751421e-004,-3.02750708838494e-002
1.99986186963271e+000,-5.71659120022476e-004,-3.03448622367748e-002
2.00447202736513e+000,-5.71659041928027e-004,-3.04148144761242e-002
